option_id,language,value,question_id
10250.0,Russian,"Вести командную игру (совместные действия, общение, выработка общей стратегии)",41
10250.0,English,"Вести командную игру (совместные действия, общение, выработка общей стратегии)",41
10251.0,Russian,"Расслабиться, отдохнуть за игрой",41
10251.0,English,"Расслабиться, отдохнуть за игрой",41
10252.0,Russian,"Ощутить превосходство над противником, быть сильнее/ловче противника",41
10252.0,English,"Ощутить превосходство над противником, быть сильнее/ловче противника",41
10253.0,Russian,"Погрузиться в особую атмосферу (военно-историческую, средневековую, космическую и т. п.)",41
10253.0,English,"Погрузиться в особую атмосферу (военно-историческую, средневековую, космическую и т. п.)",41
10254.0,Russian,"Быть в гуще событий, получить максимум адреналина",41
10254.0,English,"Быть в гуще событий, получить максимум адреналина",41
10255.0,Russian,"Выплеснуть агрессию, снять напряжение",41
10255.0,English,"Выплеснуть агрессию, снять напряжение",41
10256.0,Russian,Выстраивать индивидуальную тактику,41
10256.0,English,Выстраивать индивидуальную тактику,41
10257.0,Russian,"Прокачивать технику/персонажей до последних уровней, получать достижения (ачивки, медали)",41
10257.0,English,"Прокачивать технику/персонажей до последних уровней, получать достижения (ачивки, медали)",41
10258.0,Russian,Полностью погрузиться в игру и забыть о реальности,41
10258.0,English,Полностью погрузиться в игру и забыть о реальности,41
10259.0,Russian,"Освоить тонкости стрельбы, научиться точно рассчитывать попадания, прокачать скилл",41
10259.0,English,"Освоить тонкости стрельбы, научиться точно рассчитывать попадания, прокачать скилл",41
10260.0,Russian,"Другое (укажите, пожалуйста)",41
10260.0,English,"Другое (укажите, пожалуйста)",41
10503.0,Russian,2007,67
10503.0,English,2007,67
10504.0,Russian,2006,67
10504.0,English,2006,67
10334.0,Russian,2005,67
10334.0,English,2005,67
10335.0,Russian,2004,67
10335.0,English,2004,67
10336.0,Russian,2003,67
10336.0,English,2003,67
10337.0,Russian,2002,67
10337.0,English,2002,67
10338.0,Russian,2001,67
10338.0,English,2001,67
10339.0,Russian,2000,67
10339.0,English,2000,67
10340.0,Russian,1999,67
10340.0,English,1999,67
10341.0,Russian,1998,67
10341.0,English,1998,67
10342.0,Russian,1997,67
10342.0,English,1997,67
10343.0,Russian,1996,67
10343.0,English,1996,67
10344.0,Russian,1995,67
10344.0,English,1995,67
10345.0,Russian,1994,67
10345.0,English,1994,67
10346.0,Russian,1993,67
10346.0,English,1993,67
10347.0,Russian,1992,67
10347.0,English,1992,67
10348.0,Russian,1991,67
10348.0,English,1991,67
10349.0,Russian,1990,67
10349.0,English,1990,67
10350.0,Russian,1989,67
10350.0,English,1989,67
10351.0,Russian,1988,67
10351.0,English,1988,67
10352.0,Russian,1987,67
10352.0,English,1987,67
10353.0,Russian,1986,67
10353.0,English,1986,67
10354.0,Russian,1985,67
10354.0,English,1985,67
10355.0,Russian,1984,67
10355.0,English,1984,67
10356.0,Russian,1983,67
10356.0,English,1983,67
10357.0,Russian,1982,67
10357.0,English,1982,67
10358.0,Russian,1981,67
10358.0,English,1981,67
10359.0,Russian,1980,67
10359.0,English,1980,67
10360.0,Russian,1979,67
10360.0,English,1979,67
10361.0,Russian,1978,67
10361.0,English,1978,67
10362.0,Russian,1977,67
10362.0,English,1977,67
10363.0,Russian,1976,67
