	text1	text2
0	что есть власть	что власть есть
1	власть есть совокупность воля перенести на один лицо	лицо воля один перенести есть власть совокупность на
2	какой переноситься при на воля условие лицо масса один	при какой условие переноситься воля масса на один лицо
3	при условие выражение лицо воля весь человек	лицо воля выражение человек весь условие при
4	власть то есть есть власть	то есть власть есть власть
5	то есть власть есть слово значение который мы непонятно	мы то который власть есть значение есть непонятно слово
6	если бы область человеческий знание ограничиваться один отвлечённый мышление то подвергнуть критика то объяснение власть который давать наука человечество пришлый бы к заключение что власть есть только слово и в действительность не существовать	есть то наука власть подвергнуть область человеческий и бы знание если что мышление то критика пришлый один бы давать власть не заключение в объяснение отвлечённый к ограничиваться слово только который существовать человечество действительность
7	человек результат на отвлечённый орудие познавание иметь но опыт мышление явление он мышление кроме который для поверять	но для познавание явление кроме отвлечённый мышление человек иметь орудие опыт на который он поверять результат мышление
8	не действительно и что слово власть явление есть но опыт существующий говорить	и опыт говорить что власть не есть слово но действительно существующий явление
9	не говорить о тот что без понятие власть не мочь обойтись ни один описание совокупный деятельность человек существование власть доказываться как история так и наблюдение современный событие	человек говорить наблюдение о существование и мочь власть не так доказываться один современный понятие как без тот история описание что власть деятельность ни событие обойтись не совокупный
10	совершаться совершиться воля человек когда или представляться который по событие человек всегда событие являться	всегда когда совершаться событие являться человек или человек по воля который событие представляться совершиться
11	наполеон iii предписывать и француз идти в мексика c_80	француз в c_80 мексика предписывать наполеон iii идти и
12	прусский король и бисмарк предписывать и войско идти в богемия c_81	король и бисмарк прусский в войско c_81 богемия и предписывать идти
13	и наполеон приказывать идти i войско россия в	наполеон i приказывать и войско идти в россия
14	александр i приказывать и француз покоряться бурбон	александр француз покоряться и бурбон i приказывать
15	или бы совершиться всегда человек который оно он один несколько опыт с что событие ни мы приказать воля какой показывать связать	опыт показывать мы что какой бы ни совершиться событие оно всегда связать с воля один или несколько человек который он приказать
16	историк по старый привычка признание божественный участие в дело человечество хотеть видеть причина событие в выражение воля лицо облечённый власть но заключение это не подтверждаться ни рассуждение ни опыт	лицо старый выражение в облечённый причина привычка по власть признание дело это участие но историк ни подтверждаться событие в опыт хотеть божественный человечество ни видеть заключение не рассуждение воля
17	и выражение деятельность выражение мочь быть событие показывать слово один воля человек непонятный например они как что допустить другой происходить потому есть часть производить сила что слово непосредственный даже часто не что приказать революция но сверхъестественный обратный больший признание даже то никакой движение событие действие совершенно быть с причина быть или без чудо допустить только сторона приказание в что показывать миллион не причина случай с воля исторический лицо слово он рассуждение чтобы только тот нельзя если исполняться сторона выражаться что в в общий война часть то иногда они не мочь что история	с один сторона рассуждение показывать что выражение воля человек он слово быть только часть общий деятельность выражаться в событие как например в война или революция и потому без признание непонятный сверхъестественный сила чудо нельзя допустить чтобы слово мочь быть непосредственный причина движение миллион с другой сторона если даже допустить что слово мочь быть причина событие то история показывать что выражение воля исторический лицо в больший часть случай не производить никакой действие то есть что приказание они часто не только не исполняться но что иногда происходить даже совершенно обратный тот что они приказать
18	не допускать божественный участие в дело человечество мы не мочь принимать власть за причина событие	в человечество мочь божественный не мы за допускать не событие принимать участие власть дело причина
