	true
0	с конец 1811 го год начаться усиленный вооружение и сосредоточение сила западный европа и в 1812 год сила этот миллион человек считать тот который перевозить и кормить армия двинуться с запад на восток к граница россия к который точно так же с 1811 го год стягиваться сила россия
1	12 июнь сила западный европа переслать граница россия и начаться война то есть совершиться противный человеческий разум и весь человеческий природа событие
2	миллион человек совершать друг против друг такой бесчисленный количество злодеяние обман измена воровство подделка и выпуск фальшивый ассигнация грабёж поджог и убийство который в целое век не собрать летопись весь судно мир и на который в этот период время человек совершать они не смотреть как на преступление
3	что произвести это необычайный событие
4	какой быть причина он
5	историк с наивный уверенность говорят что причина это событие быть обида нанести герцог ольденбургский несоблюдение континентальный система властолюбие наполеон твёрдость александр ошибка дипломат и том
6	плата
7	следовательно стоить только меттерниха румянцев или талейрана между выход и раут хорошенько постараться и написать искусный бумажка или наполеон написать к александр monsieur mon fr 232 re je consens 224 rendre le duch 233 au duc d oldenbourg 1 государь брат мой я соглашаться возвратить герцогство ольденбургский герцог
8	и война бы не быть
9	понятно что такой представляться дело современник
10	понятно что наполеон казалось что причина война быть интрига англия как он и говорить это на остров св
11	елена понятно что член английский палата казалось что причина война быть властолюбие наполеон что принц ольденбургский казалось что причина война быть совершенный против он насилие что купец казалось что причина война быть континентальный система разорять европа что старое солдат и генерал казалось что главный причина быть необходимость употребить они в дело легитимист тот время то что необходимый быть восстановить les bons principes 2 хороший принцип
12	a дипломат тот время то что весь произойти оттого что союз россия с австрия в 1809 год не быть достаточно искусно скрытый от наполеон и что неловко быть написать memorandum за 178
13	понятно что этот и ещё бесчисленный бесконечный количество причина количество который зависеть от бесчисленный различие точка зрение представляться современник но для мы потомок созерцать в весь он объём громадность совершиться событие и вникать в он простой и страшный смысл причина этот представляться недостаточный
14	для мы непонятно чтобы миллион человек христиана убивать и мучить друг друг потому что наполеон быть властолюбивый александр твёрдый политика англия хитрый и герцог ольденбургский обиженный
15	нельзя понять какой связь иметь этот обстоятельство с самый факт убийство и насилие почему вследствие тот что герцог обиженный тысяча человек с другой край европа убивать и разорять человек смоленский и московский губерния и быть убивать они
16	для мы потомок не историк не увлечь процесс изыскание и потому с незатемненный здравый смысл созерцать событие причина он представляться в неисчислимый количество
17	чем большой мы углубляться в изыскание причина тем большой мы они открываться и всякая отдельно взять причина или целый ряд причина представляться мы одинаково справедливый сам по себя и одинаково ложный по свой ничтожность в сравнение с громадность событие и одинаково ложный по недействительность свой без участие весь другой совпасть причина произвести совершиться событие
18	такой же причина как отказ наполеон отвести свой войско за висла и отдать назад герцогство ольденбургский представляться мы и желание или нежелание первое французский капрал поступить на вторичный служба ибо ежели бы он не захотеть идти на служба и не захотеть бы другой три и тысяча капрал и солдат настолько менее человек быть бы в войско наполеон и война не мочь бы быть
19	ежели бы наполеон не оскорбиться требование отступить за висла и не велеть наступать войско не быть бы война но ежели бы весь сержант не пожелать поступить на вторичный служба тоже война не мочь бы быть
20	тоже не мочь бы быть война ежели бы не быть интрига англия и не быть бы принц ольденбургский и чувство оскорбление в александр и не быть бы самодержавный власть в россия и не быть бы французский революция и последовать диктаторство и империя и всего тот что произвести французский революция и так далее
21	без один из этот причина ничто не мочь бы быть
22	стать быть причина этот весь миллиард причина совпасть для тот чтобы произвести то что быть
23	и следовательно ничто не быть исключительный причина событие а событие должный быть совершиться только потому что оно должный быть совершиться
24	должный быть миллион человек отречься от свой человеческий чувство и свой разум идти на восток с запад и убивать себя подобный точно так же как несколько век тот назад с восток на запад идти толпа человек убивать себя подобный
25	действие наполеон и александр от слово который зависеть казалось чтобы событие совершиться или не совершиться быть так же мало произвольный как и действие каждый солдат идти в поход по жребий или по набор
26	это не мочь быть иначе потому что для тот чтобы воля наполеон и александр тот человек от который казалось зависеть событие быть исполнить необходимый быть совпадение бесчисленный обстоятельство без один из который событие не мочь бы совершиться
27	необходимый быть чтобы миллион человек в рука который быть действительный сила солдат который стрелять везти провиант и пушка надо быть чтобы они согласиться исполнить этот воля единичный и слабый человек и быть привести к это бесчисленный количество сложный разнообразный причина
28	фатализм в история неизбежный для объяснение неразумный явление то есть тот разумность который мы не понимать
29	чем более мы стараться разумно объяснить этот явление в история тем они становиться для мы неразумный и непонятный
30	каждый человек жить для себя пользоваться свобода для достижение свой личный цель и чувствовать весь существо свой что он мочь сейчас сделать или не сделать такой то действие но как скоро он сделать он так действие это совершенный в известный момент время становиться невозвратимый и делаться достояние история в который оно иметь не свободный а предопределить значение
31	есть два сторона жизнь в каждый человек жизнь личный который тем более свободный чем отвлечённый она интерес и жизнь стихийный роевой где человек неизбежно исполнять предписать он закон
32	человек сознательно жить для себя но служить бессознательный орудие для достижение исторический общечеловеческий цель
33	совершенный поступок невозвратимый и действие он совпадать в время с миллион действие другой человек получать исторический значение
34	чем выше стоить человек на общественный лестница чем с больший человек он связать тем большой власть он иметь на другой человек тем очевидный предопределённость и неизбежность каждый он поступок
35	сердце царёв в руца божий
36	царь есть раб история
37	история то есть бессознательный общий роевой жизнь человечество всякая минута жизнь царь пользоваться для себя как орудие для свой цель
38	наполеон несмотря на то что он более чем когда нибыть теперь в 1812 год казалось что от он зависеть verser или не verser le sang de ses peuples 3 проливать или не проливать кровь свой народ
39	как в последний письмо писать он александр никогда более как теперь не подлежать тем неизбежный закон который заставлять он действовать в отношение себя как он казалось по свой произвол делать для общий дело для история то что должный быть совершиться
40	человек запад двигаться на восток для тот чтобы убивать друг друг
41	и по закон совпадение причина подделаться сам себя и совпасть с это событие тысяча мелкий причина для это движение и для война укор за несоблюдение континентальный система и герцог ольденбургский и движение войско в пруссия предпринять как казалось наполеон для тот только чтобы достигнуть вооружённый мир c_1 и любовь и привычка французский император к война совпасть с расположение он народ увлечение грандиозность приготовление и расход по приготовление и потребность приобретение такой выгода который бы окупить этот расход и одурманить почесть в дрезден c_2 и дипломатический переговоры который по взгляд современник быть вести с искренний желание достижение мир и который только уязвлять самолюбие тот и другой сторона и миллион миллион другой причина подделаться под иметь совершиться событие совпасть с он
42	когда созрелый яблоко и падать отчего оно падать
43	оттого ли что тяготеть к земля оттого ли что засыхать стержень оттого ли что сушиться солнце что тяжелеть что ветер трясти он оттого ли что стоящий внизу мальчик хотеться съесть он
44	ничто не причина
45	весь это только совпадение тот условие при который совершаться всякий жизненный органический стихийный событие
46	и тот ботаник который найти что яблоко падать оттого что клетчатка разлагаться и тот подобный быть так же право и так же не право как и тот ребёнок стоящий внизу который сказать что яблоко упасть оттого что он хотеться съесть он и что он молиться о это
47	так же право и не право быть тот кто сказать что наполеон пойти в москва потому что он захотеть это и оттого погибнуть что александр захотеть он погибель как право и не право быть тот кто сказать что завалиться в миллион пудовый подкопать гора упасть оттого что последний работник ударить под нея последний раз кирка
48	в исторический событие так называть великое человек быть ярлык давать наименование событие который так же как ярлык менее всего иметь связь с самый событие
49	каждый действие они кажущийся имя произвольный для сам себя в исторический смысл непроизвольно а находиться в связь с весь ход история и определить предвечно
50	ii 29 го май наполеон выехать из дрезден где он пробыть три неделя окружить двор составить из принц герцог король и даже один император
51	наполеон перед отъезд обласкать принц король и император который тот заслуживать побранить король и принц который он быть не вполне довольный одарить свой собственный то есть взять у другой король жемчуг и бриллиант императрица австрийский и нежно обнять императрица мария луиз как говорить он историк оставить она огорчить разлука который она этот мария луиз считаться он супруга несмотря на то что в париж оставаться другой супруг казалось не в сила быть перенести
52	несмотря на то что дипломат ещё твёрдо верить в возможность мир и усердно работать с этот цель несмотря на то что император наполеон сам писать письмо император александр называть он monsieur mon fr 232 re 4 государь брат мой
53	и искренно уверять что он не желать война и что всегда быть любить и уважать он он ехать к армия и отдавать на каждый станция новое приказание иметь цель торопить движение армия от запад к восток
54	он ехать в дорожный карета запрячь шестерик окружить паж адъютант и конвой по тракт на позный торн данциг и кенигсберг
55	в каждый из этот город тысяча человек с трепет и восторг встречать он
56	армия подвигаться с запад на восток и переменный шестерня нести он туда же
57	10 го июнь он догнать армия и ночевать в вильковисский леса в приготовить для он квартира в имение польский граф
58	на другой день наполеон обогнать армия в коляска подъехать к неман и с тем чтобы осмотреть местность переправа переодеться в польский мундир и выехать на берег
59	увидать на тот сторона казаков les cosaques и расстилаться степь les steppes в середина который быть moscou la ville sainte 5 москва священный город
